cause,effect,lag_bin,cause_type,effect_type,conditional_probability
0-60,0-1,0-7,Diastolic Blood Pressure,Creatinine,2.372721297783641e-06
0-60,0-1,7-14,Diastolic Blood Pressure,Creatinine,9.490885191134563e-06
0-60,0-1,14-30,Diastolic Blood Pressure,Creatinine,1.898177038226913e-05
0-60,0-1,30-60,Diastolic Blood Pressure,Creatinine,9.016340931577836e-05
0-60,0-1,60-90,Diastolic Blood Pressure,Creatinine,0.0001138906222936
0-60,0-1,90-180,Diastolic Blood Pressure,Creatinine,0.0003108264900096
0-60,0-1,180-365,Diastolic Blood Pressure,Creatinine,0.0008375706181176
0-60,0-1,365-730,Diastolic Blood Pressure,Creatinine,0.001644295859364
0-60,0-1,730-inf,Diastolic Blood Pressure,Creatinine,0.0056684311804051
0-60,0-100,7-14,Diastolic Blood Pressure,Alkaline Phosphatase,2.372721297783641e-06
0-60,0-100,14-30,Diastolic Blood Pressure,Alkaline Phosphatase,2.372721297783641e-06
0-60,0-100,30-60,Diastolic Blood Pressure,Alkaline Phosphatase,2.372721297783641e-06
0-60,0-100,60-90,Diastolic Blood Pressure,Alkaline Phosphatase,2.372721297783641e-06
0-60,0-100,90-180,Diastolic Blood Pressure,Alkaline Phosphatase,9.490885191134563e-06
0-60,0-100,180-365,Diastolic Blood Pressure,Alkaline Phosphatase,1.898177038226913e-05
0-60,0-100,365-730,Diastolic Blood Pressure,Alkaline Phosphatase,3.796354076453826e-05
0-60,0-100,730-inf,Diastolic Blood Pressure,Alkaline Phosphatase,0.0001850722612271
0-60,0-150,0-7,Diastolic Blood Pressure,Body Height,2.372721297783641e-06
0-60,0-150,30-60,Diastolic Blood Pressure,Body Height,2.372721297783641e-06
0-60,0-150,60-90,Diastolic Blood Pressure,Body Height,4.7454425955672825e-06
0-60,0-150,90-180,Diastolic Blood Pressure,Body Height,2.135449168005277e-05
0-60,0-150,180-365,Diastolic Blood Pressure,Body Height,5.2199868551240105e-05
0-60,0-150,365-730,Diastolic Blood Pressure,Body Height,7.118163893350923e-05
0-60,0-150,730-inf,Diastolic Blood Pressure,Body Height,0.0001352451139736
0-60,0-35,0-7,Diastolic Blood Pressure,Carbon Dioxide,2.372721297783641e-06
0-60,0-35,7-14,Diastolic Blood Pressure,Carbon Dioxide,1.4236327786701848e-05
0-60,0-35,14-30,Diastolic Blood Pressure,Carbon Dioxide,3.5590819466754616e-05
