cause,effect,lag_bin,cause_type,effect_type,conditional_probability
135-145,0-1,0-7,Sodium,Creatinine,0.0089659243542908
135-145,0-1,7-14,Sodium,Creatinine,0.0027462420970681
135-145,0-1,14-30,Sodium,Creatinine,0.004833728301693
135-145,0-1,30-60,Sodium,Creatinine,0.008033399779274
135-145,0-1,60-90,Sodium,Creatinine,0.0035076612454764
135-145,0-1,90-180,Sodium,Creatinine,0.0009924114743299
135-145,0-1,730-inf,Sodium,Creatinine,0.0034563296174938
135-145,0-100,730-inf,Sodium,Alkaline Phosphatase,8.555271330430244e-06
135-145,0-150,7-14,Sodium,Body Height,8.555271330430244e-06
135-145,0-150,14-30,Sodium,Body Height,8.555271330430244e-06
135-145,0-150,30-60,Sodium,Body Height,4.277635665215122e-05
135-145,0-150,60-90,Sodium,Body Height,2.5665813991290732e-05
135-145,0-150,90-180,Sodium,Body Height,8.555271330430245e-05
135-145,0-150,180-365,Sodium,Body Height,0.0002908792252346
135-145,0-150,365-730,Sodium,Body Height,0.0002823239539041
135-145,0-150,730-inf,Sodium,Body Height,0.0005817584504692
135-145,0-35,0-7,Sodium,Carbon Dioxide,0.0165544500243825
135-145,0-35,7-14,Sodium,Carbon Dioxide,0.0037728746567197
135-145,0-35,14-30,Sodium,Carbon Dioxide,0.0079392917946392
135-145,0-35,30-60,Sodium,Carbon Dioxide,0.0127045779256889
135-145,0-35,60-90,Sodium,Carbon Dioxide,0.0045000727198063
135-145,0-35,90-180,Sodium,Carbon Dioxide,0.0011292958156167
135-145,0-35,730-inf,Sodium,Carbon Dioxide,0.0063822324125009
135-145,0-50,7-14,Sodium,Body Weight,8.555271330430244e-06
135-145,0-50,14-30,Sodium,Body Weight,8.555271330430244e-06
135-145,0-50,30-60,Sodium,Body Weight,5.133162798258147e-05
135-145,0-50,60-90,Sodium,Body Weight,2.5665813991290732e-05
135-145,0-50,90-180,Sodium,Body Weight,8.555271330430245e-05
135-145,0-50,180-365,Sodium,Body Weight,0.000299434496565
135-145,0-50,365-730,Sodium,Body Weight,0.0003251003105563
135-145,0-50,730-inf,Sodium,Body Weight,0.0006245348071214
135-145,0-60,7-14,Sodium,Diastolic Blood Pressure,0.0001026632559651
135-145,0-60,14-30,Sodium,Diastolic Blood Pressure,0.0002138817832607
135-145,0-60,30-60,Sodium,Diastolic Blood Pressure,0.0004277635665215
135-145,0-60,60-90,Sodium,Diastolic Blood Pressure,0.0001625501552781
135-145,0-60,90-180,Sodium,Diastolic Blood Pressure,0.0005218715511562
135-145,0-60,180-365,Sodium,Diastolic Blood Pressure,0.0007785296910691
135-145,0-60,365-730,Sodium,Diastolic Blood Pressure,0.0015570593821383
135-145,0-60,730-inf,Sodium,Diastolic Blood Pressure,0.0043974094638411
135-145,0-70,0-7,Sodium,Glucose,0.0022500363599031
135-145,0-70,7-14,Sodium,Glucose,0.0003165450392259
135-145,0-70,14-30,Sodium,Glucose,0.0014800619401644
135-145,0-70,30-60,Sodium,Glucose,0.0026435788411029
135-145,0-70,60-90,Sodium,Glucose,0.0007015322490952
135-145,0-70,90-180,Sodium,Glucose,0.000239547597252
135-145,0-70,730-inf,Sodium,Glucose,0.000975300931669
135-145,0-8,0-7,Sodium,Calcium,0.0006330900784518
135-145,0-8,7-14,Sodium,Calcium,0.0002309923259216
135-145,0-8,14-30,Sodium,Calcium,0.0003336555818867
135-145,0-8,30-60,Sodium,Calcium,0.0005133162798258
135-145,0-8,60-90,Sodium,Calcium,0.000119773798626
135-145,0-8,90-180,Sodium,Calcium,0.0001112185272955
135-145,0-8,730-inf,Sodium,Calcium,0.0002908792252346
135-145,0-90,7-14,Sodium,Systolic Blood Pressure,2.5665813991290732e-05
135-145,0-90,14-30,Sodium,Systolic Blood Pressure,2.5665813991290732e-05
135-145,0-90,30-60,Sodium,Systolic Blood Pressure,0.0001368843412868
135-145,0-90,60-90,Sodium,Systolic Blood Pressure,5.133162798258147e-05
135-145,0-90,90-180,Sodium,Systolic Blood Pressure,0.0001882159692694
135-145,0-90,180-365,Sodium,Systolic Blood Pressure,0.0002823239539041
135-145,0-90,365-730,Sodium,Systolic Blood Pressure,0.0006416453497822
135-145,0-90,730-inf,Sodium,Systolic Blood Pressure,0.0009325245750168
135-145,1-1,0-7,Sodium,Creatinine,0.0033964427181808
135-145,1-1,7-14,Sodium,Creatinine,0.0009924114743299
135-145,1-1,14-30,Sodium,Creatinine,0.0030200107796418
135-145,1-1,30-60,Sodium,Creatinine,0.004474406905815
135-145,1-1,60-90,Sodium,Creatinine,0.0009924114743299
135-145,1-1,90-180,Sodium,Creatinine,0.0001368843412868
135-145,1-1,730-inf,Sodium,Creatinine,0.0014201750408514
135-145,1-inf,0-7,Sodium,Creatinine,0.0041920829519108
135-145,1-inf,7-14,Sodium,Creatinine,3.422108532172098e-05
135-145,1-inf,14-30,Sodium,Creatinine,8.555271330430245e-05
135-145,1-inf,30-60,Sodium,Creatinine,0.0001967712405998
135-145,1-inf,730-inf,Sodium,Creatinine,0.0015057277541557
135-145,107-inf,0-7,Sodium,Chloride,0.005509594736797
135-145,107-inf,7-14,Sodium,Chloride,0.0017538306227382
135-145,107-inf,14-30,Sodium,Chloride,0.0032595583768939
135-145,107-inf,30-60,Sodium,Chloride,0.0054668183801449
135-145,107-inf,60-90,Sodium,Chloride,0.0017880517080599
135-145,107-inf,90-180,Sodium,Chloride,0.0007443086057474
135-145,107-inf,730-inf,Sodium,Chloride,0.0023441443445378
135-145,120-140,0-7,Sodium,Systolic Blood Pressure,8.555271330430244e-06
135-145,120-140,7-14,Sodium,Systolic Blood Pressure,0.0005560926364779
135-145,120-140,14-30,Sodium,Systolic Blood Pressure,0.0002823239539041
135-145,120-140,30-60,Sodium,Systolic Blood Pressure,0.0004705399231736
135-145,120-140,60-90,Sodium,Systolic Blood Pressure,0.0006245348071214
135-145,120-140,90-180,Sodium,Systolic Blood Pressure,0.0010865194589646
135-145,120-140,180-365,Sodium,Systolic Blood Pressure,0.0026521341124333
135-145,120-140,365-730,Sodium,Systolic Blood Pressure,0.004594180704441
135-145,120-140,730-inf,Sodium,Systolic Blood Pressure,0.0156219254493656
135-145,120-180,730-inf,Sodium,ALT (Elevated),8.555271330430244e-06
135-145,135-145,0-7,Sodium,Sodium,0.0165544500243825
135-145,135-145,7-14,Sodium,Sodium,0.0037728746567197
135-145,135-145,14-30,Sodium,Sodium,0.0079392917946392
135-145,135-145,30-60,Sodium,Sodium,0.0127045779256889
135-145,135-145,60-90,Sodium,Sodium,0.0045000727198063
135-145,135-145,90-180,Sodium,Sodium,0.0011292958156167
135-145,135-145,730-inf,Sodium,Sodium,0.0063822324125009
135-145,140-inf,7-14,Sodium,Systolic Blood Pressure,5.133162798258147e-05
135-145,140-inf,14-30,Sodium,Systolic Blood Pressure,8.555271330430244e-06
135-145,140-inf,30-60,Sodium,Systolic Blood Pressure,6.844217064344196e-05
135-145,140-inf,60-90,Sodium,Systolic Blood Pressure,5.133162798258147e-05
135-145,140-inf,90-180,Sodium,Systolic Blood Pressure,0.0002224370545911
135-145,140-inf,180-365,Sodium,Systolic Blood Pressure,0.0006502006211126
