cause,effect,lag_bin,cause_type,effect_type,conditional_probability
0-50,0-1,60-90,Body Weight,Creatinine,3.0402529490453606e-05
0-50,0-1,90-180,Body Weight,Creatinine,0.0001124893591146
0-50,0-1,180-365,Body Weight,Creatinine,0.0002219384652803
0-50,0-1,365-730,Body Weight,Creatinine,0.000538124771981
0-50,0-1,730-inf,Body Weight,Creatinine,0.0017511856986501
0-50,0-150,0-7,Body Weight,Body Height,0.000337468077344
0-50,0-150,7-14,Body Weight,Body Height,0.0001611334062994
0-50,0-150,14-30,Body Weight,Body Height,0.000538124771981
0-50,0-150,30-60,Body Weight,Body Height,0.001407637115408
0-50,0-150,60-90,Body Weight,Body Height,0.0019792046698285
0-50,0-150,90-180,Body Weight,Body Height,0.0065821476346832
0-50,0-150,180-365,Body Weight,Body Height,0.0160981393651951
0-50,0-150,365-730,Body Weight,Body Height,0.020512586647209
0-50,0-150,730-inf,Body Weight,Body Height,0.0440107016903806
0-50,0-35,7-14,Body Weight,Carbon Dioxide,6.080505898090721e-06
0-50,0-35,14-30,Body Weight,Carbon Dioxide,6.080505898090721e-06
0-50,0-35,30-60,Body Weight,Carbon Dioxide,1.5201264745226803e-05
0-50,0-35,60-90,Body Weight,Carbon Dioxide,3.9523288337589686e-05
0-50,0-35,90-180,Body Weight,Carbon Dioxide,0.0001246503709108
0-50,0-35,180-365,Body Weight,Carbon Dioxide,0.0003192265596497
0-50,0-35,365-730,Body Weight,Carbon Dioxide,0.000674936154688
0-50,0-35,730-inf,Body Weight,Carbon Dioxide,0.0019761644168794
0-50,0-50,0-7,Body Weight,Body Weight,0.0010124042320321
0-50,0-50,7-14,Body Weight,Body Weight,0.00054116502493
0-50,0-50,14-30,Body Weight,Body Weight,0.0007357412136689
0-50,0-50,30-60,Body Weight,Body Weight,0.0016386963395354
0-50,0-50,60-90,Body Weight,Body Weight,0.0021677003526693
0-50,0-50,90-180,Body Weight,Body Weight,0.0077708865377599
0-50,0-50,180-365,Body Weight,Body Weight,0.0184968989419919
0-50,0-50,365-730,Body Weight,Body Weight,0.0243068223276176
0-50,0-50,730-inf,Body Weight,Body Weight,0.0534810896266569
0-50,0-60,0-7,Body Weight,Diastolic Blood Pressure,3.040252949045361e-06
0-50,0-60,7-14,Body Weight,Diastolic Blood Pressure,9.12075884713608e-06
0-50,0-60,14-30,Body Weight,Diastolic Blood Pressure,2.1281770643317523e-05
0-50,0-60,30-60,Body Weight,Diastolic Blood Pressure,4.560379423568041e-05
0-50,0-60,60-90,Body Weight,Diastolic Blood Pressure,1.824151769427216e-05
0-50,0-60,90-180,Body Weight,Diastolic Blood Pressure,8.208682962422473e-05
0-50,0-60,180-365,Body Weight,Diastolic Blood Pressure,0.0001763346710446
0-50,0-60,365-730,Body Weight,Diastolic Blood Pressure,0.0011522558676881
0-50,0-60,730-inf,Body Weight,Diastolic Blood Pressure,0.0010519275203696
0-50,0-70,90-180,Body Weight,Glucose,1.5201264745226803e-05
0-50,0-70,180-365,Body Weight,Glucose,2.1281770643317523e-05
0-50,0-70,365-730,Body Weight,Glucose,4.864404718472577e-05
0-50,0-70,730-inf,Body Weight,Glucose,0.0001793749239936
0-50,0-8,90-180,Body Weight,Calcium,6.080505898090721e-06
0-50,0-8,180-365,Body Weight,Calcium,1.2161011796181442e-05
0-50,0-8,365-730,Body Weight,Calcium,3.0402529490453606e-05
0-50,0-8,730-inf,Body Weight,Calcium,8.816733552231545e-05
0-50,0-90,0-7,Body Weight,Systolic Blood Pressure,9.12075884713608e-06
0-50,0-90,7-14,Body Weight,Systolic Blood Pressure,4.256354128663505e-05
0-50,0-90,14-30,Body Weight,Systolic Blood Pressure,9.120758847136082e-05
0-50,0-90,30-60,Body Weight,Systolic Blood Pressure,0.0001216101179618
0-50,0-90,60-90,Body Weight,Systolic Blood Pressure,0.0001550529004013
0-50,0-90,90-180,Body Weight,Systolic Blood Pressure,0.0003921926304268
0-50,0-90,180-365,Body Weight,Systolic Blood Pressure,0.0006293323604523
0-50,0-90,365-730,Body Weight,Systolic Blood Pressure,0.0015809315335035
0-50,0-90,730-inf,Body Weight,Systolic Blood Pressure,0.0023045117353763
0-50,1-inf,7-14,Body Weight,Creatinine,6.080505898090721e-06
0-50,1-inf,14-30,Body Weight,Creatinine,6.080505898090721e-06
0-50,1-inf,30-60,Body Weight,Creatinine,1.5201264745226803e-05
0-50,1-inf,60-90,Body Weight,Creatinine,9.12075884713608e-06
0-50,1-inf,90-180,Body Weight,Creatinine,1.2161011796181442e-05
0-50,1-inf,180-365,Body Weight,Creatinine,9.728809436945154e-05
0-50,1-inf,365-730,Body Weight,Creatinine,0.000136811382707
0-50,1-inf,730-inf,Body Weight,Creatinine,0.0002249787182293
0-50,107-inf,7-14,Body Weight,Chloride,3.040252949045361e-06
0-50,107-inf,30-60,Body Weight,Chloride,3.040252949045361e-06
0-50,107-inf,60-90,Body Weight,Chloride,3.040252949045361e-06
0-50,107-inf,90-180,Body Weight,Chloride,3.6483035388544325e-05
0-50,107-inf,180-365,Body Weight,Chloride,6.992581782804329e-05
0-50,107-inf,365-730,Body Weight,Chloride,0.0001520126474522
0-50,107-inf,730-inf,Body Weight,Chloride,0.00054116502493
0-50,120-140,0-7,Body Weight,Systolic Blood Pressure,0.000337468077344
0-50,120-140,7-14,Body Weight,Systolic Blood Pressure,0.0002827435242612
0-50,120-140,14-30,Body Weight,Systolic Blood Pressure,0.0003769913656816
0-50,120-140,30-60,Body Weight,Systolic Blood Pressure,0.000875592849325
0-50,120-140,60-90,Body Weight,Systolic Blood Pressure,0.0011005715675544
0-50,120-140,90-180,Body Weight,Systolic Blood Pressure,0.0037820746686124
0-50,120-140,180-365,Body Weight,Systolic Blood Pressure,0.0088684178523653
0-50,120-140,365-730,Body Weight,Systolic Blood Pressure,0.0115651222181685
0-50,120-140,730-inf,Body Weight,Systolic Blood Pressure,0.0313875714459443
0-50,135-145,7-14,Body Weight,Sodium,6.080505898090721e-06
0-50,135-145,14-30,Body Weight,Sodium,6.080505898090721e-06
0-50,135-145,30-60,Body Weight,Sodium,1.5201264745226803e-05
0-50,135-145,60-90,Body Weight,Sodium,3.9523288337589686e-05
0-50,135-145,90-180,Body Weight,Sodium,0.0001246503709108
0-50,135-145,180-365,Body Weight,Sodium,0.0003192265596497
0-50,135-145,365-730,Body Weight,Sodium,0.000674936154688
0-50,135-145,730-inf,Body Weight,Sodium,0.0019761644168794
0-50,140-inf,0-7,Body Weight,Systolic Blood Pressure,3.9523288337589686e-05
0-50,140-inf,7-14,Body Weight,Systolic Blood Pressure,2.4322023592362884e-05
0-50,140-inf,14-30,Body Weight,Systolic Blood Pressure,8.51270825732701e-05
0-50,140-inf,30-60,Body Weight,Systolic Blood Pressure,0.000139851635656
0-50,140-inf,60-90,Body Weight,Systolic Blood Pressure,0.0001976164416879
0-50,140-inf,90-180,Body Weight,Systolic Blood Pressure,0.0006992581782804
0-50,140-inf,180-365,Body Weight,Systolic Blood Pressure,0.0015292472333698
0-50,140-inf,365-730,Body Weight,Systolic Blood Pressure,0.0019852851757266
0-50,140-inf,730-inf,Body Weight,Systolic Blood Pressure,0.005767359844339
0-50,150-170,0-7,Body Weight,Body Height,3.040252949045361e-06
0-50,150-170,7-14,Body Weight,Body Height,0.0001489723945032
0-50,150-170,14-30,Body Weight,Body Height,0.0002128177064331
0-50,150-170,30-60,Body Weight,Body Height,0.0003435485832421
0-50,150-170,60-90,Body Weight,Body Height,0.0002949045360574
0-50,150-170,90-180,Body Weight,Body Height,0.0009120758847136
0-50,150-170,180-365,Body Weight,Body Height,0.001614374315943
0-50,150-170,365-730,Body Weight,Body Height,0.0039036847865742
0-50,150-170,730-inf,Body Weight,Body Height,0.0205581904414447
0-50,170-190,180-365,Body Weight,Body Height,6.080505898090721e-06
0-50,170-190,365-730,Body Weight,Body Height,0.0001580931533503
0-50,170-190,730-inf,Body Weight,Body Height,0.0056031861850905
0-50,3-5,7-14,Body Weight,Potassium,6.080505898090721e-06
0-50,3-5,14-30,Body Weight,Potassium,6.080505898090721e-06
0-50,3-5,30-60,Body Weight,Potassium,1.5201264745226803e-05
0-50,3-5,60-90,Body Weight,Potassium,3.9523288337589686e-05
0-50,3-5,90-180,Body Weight,Potassium,0.0001246503709108
0-50,3-5,180-365,Body Weight,Potassium,0.0003192265596497
0-50,3-5,365-730,Body Weight,Potassium,0.000674936154688
0-50,3-5,730-inf,Body Weight,Potassium,0.0019761644168794
0-50,37-inf,14-30,Body Weight,Body Temperature,3.040252949045361e-06
