cause,effect,lag_bin,cause_type,effect_type,conditional_probability
0-35,0-1,0-7,Carbon Dioxide,Creatinine,0.0089659243542908
0-35,0-1,7-14,Carbon Dioxide,Creatinine,0.0027462420970681
0-35,0-1,14-30,Carbon Dioxide,Creatinine,0.004833728301693
0-35,0-1,30-60,Carbon Dioxide,Creatinine,0.008033399779274
0-35,0-1,60-90,Carbon Dioxide,Creatinine,0.0035076612454764
0-35,0-1,90-180,Carbon Dioxide,Creatinine,0.0009924114743299
0-35,0-1,730-inf,Carbon Dioxide,Creatinine,0.0034563296174938
0-35,0-100,730-inf,Carbon Dioxide,Alkaline Phosphatase,8.555271330430244e-06
0-35,0-150,7-14,Carbon Dioxide,Body Height,8.555271330430244e-06
0-35,0-150,14-30,Carbon Dioxide,Body Height,8.555271330430244e-06
0-35,0-150,30-60,Carbon Dioxide,Body Height,4.277635665215122e-05
0-35,0-150,60-90,Carbon Dioxide,Body Height,2.5665813991290732e-05
0-35,0-150,90-180,Carbon Dioxide,Body Height,8.555271330430245e-05
0-35,0-150,180-365,Carbon Dioxide,Body Height,0.0002908792252346
0-35,0-150,365-730,Carbon Dioxide,Body Height,0.0002823239539041
0-35,0-150,730-inf,Carbon Dioxide,Body Height,0.0005817584504692
0-35,0-35,0-7,Carbon Dioxide,Carbon Dioxide,0.0165544500243825
0-35,0-35,7-14,Carbon Dioxide,Carbon Dioxide,0.0037728746567197
0-35,0-35,14-30,Carbon Dioxide,Carbon Dioxide,0.0079392917946392
0-35,0-35,30-60,Carbon Dioxide,Carbon Dioxide,0.0127045779256889
0-35,0-35,60-90,Carbon Dioxide,Carbon Dioxide,0.0045000727198063
0-35,0-35,90-180,Carbon Dioxide,Carbon Dioxide,0.0011292958156167
0-35,0-35,730-inf,Carbon Dioxide,Carbon Dioxide,0.0063822324125009
0-35,0-50,7-14,Carbon Dioxide,Body Weight,8.555271330430244e-06
0-35,0-50,14-30,Carbon Dioxide,Body Weight,8.555271330430244e-06
0-35,0-50,30-60,Carbon Dioxide,Body Weight,5.133162798258147e-05
0-35,0-50,60-90,Carbon Dioxide,Body Weight,2.5665813991290732e-05
0-35,0-50,90-180,Carbon Dioxide,Body Weight,8.555271330430245e-05
0-35,0-50,180-365,Carbon Dioxide,Body Weight,0.000299434496565
0-35,0-50,365-730,Carbon Dioxide,Body Weight,0.0003251003105563
0-35,0-50,730-inf,Carbon Dioxide,Body Weight,0.0006245348071214
0-35,0-60,7-14,Carbon Dioxide,Diastolic Blood Pressure,0.0001026632559651
0-35,0-60,14-30,Carbon Dioxide,Diastolic Blood Pressure,0.0002138817832607
0-35,0-60,30-60,Carbon Dioxide,Diastolic Blood Pressure,0.0004277635665215
0-35,0-60,60-90,Carbon Dioxide,Diastolic Blood Pressure,0.0001625501552781
0-35,0-60,90-180,Carbon Dioxide,Diastolic Blood Pressure,0.0005218715511562
0-35,0-60,180-365,Carbon Dioxide,Diastolic Blood Pressure,0.0007785296910691
0-35,0-60,365-730,Carbon Dioxide,Diastolic Blood Pressure,0.0015570593821383
0-35,0-60,730-inf,Carbon Dioxide,Diastolic Blood Pressure,0.0043974094638411
0-35,0-70,0-7,Carbon Dioxide,Glucose,0.0022500363599031
0-35,0-70,7-14,Carbon Dioxide,Glucose,0.0003165450392259
0-35,0-70,14-30,Carbon Dioxide,Glucose,0.0014800619401644
0-35,0-70,30-60,Carbon Dioxide,Glucose,0.0026435788411029
0-35,0-70,60-90,Carbon Dioxide,Glucose,0.0007015322490952
0-35,0-70,90-180,Carbon Dioxide,Glucose,0.000239547597252
0-35,0-70,730-inf,Carbon Dioxide,Glucose,0.000975300931669
0-35,0-8,0-7,Carbon Dioxide,Calcium,0.0006330900784518
0-35,0-8,7-14,Carbon Dioxide,Calcium,0.0002309923259216
0-35,0-8,14-30,Carbon Dioxide,Calcium,0.0003336555818867
0-35,0-8,30-60,Carbon Dioxide,Calcium,0.0005133162798258
0-35,0-8,60-90,Carbon Dioxide,Calcium,0.000119773798626
0-35,0-8,90-180,Carbon Dioxide,Calcium,0.0001112185272955
0-35,0-8,730-inf,Carbon Dioxide,Calcium,0.0002908792252346
0-35,0-90,7-14,Carbon Dioxide,Systolic Blood Pressure,2.5665813991290732e-05
0-35,0-90,14-30,Carbon Dioxide,Systolic Blood Pressure,2.5665813991290732e-05
0-35,0-90,30-60,Carbon Dioxide,Systolic Blood Pressure,0.0001368843412868
0-35,0-90,60-90,Carbon Dioxide,Systolic Blood Pressure,5.133162798258147e-05
0-35,0-90,90-180,Carbon Dioxide,Systolic Blood Pressure,0.0001882159692694
0-35,0-90,180-365,Carbon Dioxide,Systolic Blood Pressure,0.0002823239539041
0-35,0-90,365-730,Carbon Dioxide,Systolic Blood Pressure,0.0006416453497822
0-35,0-90,730-inf,Carbon Dioxide,Systolic Blood Pressure,0.0009325245750168
0-35,1-1,0-7,Carbon Dioxide,Creatinine,0.0033964427181808
0-35,1-1,7-14,Carbon Dioxide,Creatinine,0.0009924114743299
0-35,1-1,14-30,Carbon Dioxide,Creatinine,0.0030200107796418
0-35,1-1,30-60,Carbon Dioxide,Creatinine,0.004474406905815
0-35,1-1,60-90,Carbon Dioxide,Creatinine,0.0009924114743299
0-35,1-1,90-180,Carbon Dioxide,Creatinine,0.0001368843412868
0-35,1-1,730-inf,Carbon Dioxide,Creatinine,0.0014201750408514
0-35,1-inf,0-7,Carbon Dioxide,Creatinine,0.0041920829519108
0-35,1-inf,7-14,Carbon Dioxide,Creatinine,3.422108532172098e-05
0-35,1-inf,14-30,Carbon Dioxide,Creatinine,8.555271330430245e-05
0-35,1-inf,30-60,Carbon Dioxide,Creatinine,0.0001967712405998
0-35,1-inf,730-inf,Carbon Dioxide,Creatinine,0.0015057277541557
0-35,107-inf,0-7,Carbon Dioxide,Chloride,0.005509594736797
0-35,107-inf,7-14,Carbon Dioxide,Chloride,0.0017538306227382
0-35,107-inf,14-30,Carbon Dioxide,Chloride,0.0032595583768939
0-35,107-inf,30-60,Carbon Dioxide,Chloride,0.0054668183801449
0-35,107-inf,60-90,Carbon Dioxide,Chloride,0.0017880517080599
0-35,107-inf,90-180,Carbon Dioxide,Chloride,0.0007443086057474
0-35,107-inf,730-inf,Carbon Dioxide,Chloride,0.0023441443445378
0-35,120-140,0-7,Carbon Dioxide,Systolic Blood Pressure,8.555271330430244e-06
0-35,120-140,7-14,Carbon Dioxide,Systolic Blood Pressure,0.0005560926364779
0-35,120-140,14-30,Carbon Dioxide,Systolic Blood Pressure,0.0002823239539041
0-35,120-140,30-60,Carbon Dioxide,Systolic Blood Pressure,0.0004705399231736
0-35,120-140,60-90,Carbon Dioxide,Systolic Blood Pressure,0.0006245348071214
0-35,120-140,90-180,Carbon Dioxide,Systolic Blood Pressure,0.0010865194589646
0-35,120-140,180-365,Carbon Dioxide,Systolic Blood Pressure,0.0026521341124333
0-35,120-140,365-730,Carbon Dioxide,Systolic Blood Pressure,0.004594180704441
0-35,120-140,730-inf,Carbon Dioxide,Systolic Blood Pressure,0.0156219254493656
0-35,120-180,730-inf,Carbon Dioxide,ALT (Elevated),8.555271330430244e-06
0-35,135-145,0-7,Carbon Dioxide,Sodium,0.0165544500243825
0-35,135-145,7-14,Carbon Dioxide,Sodium,0.0037728746567197
0-35,135-145,14-30,Carbon Dioxide,Sodium,0.0079392917946392
0-35,135-145,30-60,Carbon Dioxide,Sodium,0.0127045779256889
0-35,135-145,60-90,Carbon Dioxide,Sodium,0.0045000727198063
0-35,135-145,90-180,Carbon Dioxide,Sodium,0.0011292958156167
0-35,135-145,730-inf,Carbon Dioxide,Sodium,0.0063822324125009
0-35,140-inf,7-14,Carbon Dioxide,Systolic Blood Pressure,5.133162798258147e-05
0-35,140-inf,14-30,Carbon Dioxide,Systolic Blood Pressure,8.555271330430244e-06
0-35,140-inf,30-60,Carbon Dioxide,Systolic Blood Pressure,6.844217064344196e-05
0-35,140-inf,60-90,Carbon Dioxide,Systolic Blood Pressure,5.133162798258147e-05
0-35,140-inf,90-180,Carbon Dioxide,Systolic Blood Pressure,0.0002224370545911
0-35,140-inf,180-365,Carbon Dioxide,Systolic Blood Pressure,0.0006502006211126
0-35,140-inf,365-730,Carbon Dioxide,Systolic Blood Pressure,0.0004106530238606
0-35,140-inf,730-inf,Carbon Dioxide,Systolic Blood Pressure,0.003242447834233
0-35,150-170,0-7,Carbon Dioxide,Body Height,8.555271330430244e-06
0-35,150-170,7-14,Carbon Dioxide,Body Height,0.0009496351176777
0-35,150-170,14-30,Carbon Dioxide,Body Height,0.0006929769777648
0-35,150-170,30-60,Carbon Dioxide,Body Height,0.0008640824043734
0-35,150-170,60-90,Carbon Dioxide,Body Height,0.0009496351176777
0-35,150-170,90-180,Carbon Dioxide,Body Height,0.001651167366773
0-35,150-170,180-365,Carbon Dioxide,Body Height,0.003798540470711
0-35,150-170,365-730,Carbon Dioxide,Body Height,0.006681666909066
0-35,150-170,730-inf,Carbon Dioxide,Body Height,0.0211144096435018
0-35,150-450,730-inf,Carbon Dioxide,Platelet Count,8.555271330430244e-06
0-35,16-inf,730-inf,Carbon Dioxide,Hemoglobin,8.555271330430244e-06
0-35,170-190,7-14,Carbon Dioxide,Body Height,0.0007443086057474
