cause,effect,lag_bin,cause_type,effect_type,conditional_probability
0-8,0-60,30-60,Anion Gap,Diastolic Blood Pressure,0.005050505050505
0-8,0-60,180-365,Anion Gap,Diastolic Blood Pressure,0.005050505050505
0-8,0-60,365-730,Anion Gap,Diastolic Blood Pressure,0.0151515151515151
0-8,0-60,730-inf,Anion Gap,Diastolic Blood Pressure,0.0454545454545454
0-8,0-90,30-60,Anion Gap,Systolic Blood Pressure,0.005050505050505
0-8,0-90,365-730,Anion Gap,Systolic Blood Pressure,0.0151515151515151
0-8,0-90,730-inf,Anion Gap,Systolic Blood Pressure,0.0404040404040404
0-8,120-140,90-180,Anion Gap,Systolic Blood Pressure,0.005050505050505
0-8,120-140,365-730,Anion Gap,Systolic Blood Pressure,0.005050505050505
0-8,120-140,730-inf,Anion Gap,Systolic Blood Pressure,0.0202020202020202
0-8,150-170,90-180,Anion Gap,Body Height,0.005050505050505
0-8,150-170,180-365,Anion Gap,Body Height,0.005050505050505
0-8,150-170,365-730,Anion Gap,Body Height,0.0101010101010101
0-8,150-170,730-inf,Anion Gap,Body Height,0.0353535353535353
0-8,170-190,30-60,Anion Gap,Body Height,0.005050505050505
0-8,170-190,365-730,Anion Gap,Body Height,0.0151515151515151
0-8,170-190,730-inf,Anion Gap,Body Height,0.0404040404040404
0-8,50-70,90-180,Anion Gap,Body Weight,0.005050505050505
0-8,50-70,365-730,Anion Gap,Body Weight,0.005050505050505
0-8,50-70,730-inf,Anion Gap,Body Weight,0.0202020202020202
0-8,60-80,365-730,Anion Gap,Diastolic Blood Pressure,0.005050505050505
0-8,60-80,730-inf,Anion Gap,Diastolic Blood Pressure,0.0252525252525252
0-8,70-90,180-365,Anion Gap,Body Weight,0.005050505050505
0-8,70-90,365-730,Anion Gap,Body Weight,0.005050505050505
0-8,70-90,730-inf,Anion Gap,Body Weight,0.0151515151515151
0-8,80-90,90-180,Anion Gap,Diastolic Blood Pressure,0.005050505050505
0-8,80-90,365-730,Anion Gap,Diastolic Blood Pressure,0.005050505050505
0-8,80-90,730-inf,Anion Gap,Diastolic Blood Pressure,0.005050505050505
0-8,90-120,180-365,Anion Gap,Systolic Blood Pressure,0.005050505050505
