cause,effect,lag_bin,cause_type,effect_type,conditional_probability
0-150,0-1,60-90,Body Height,Creatinine,3.537268662629464e-05
0-150,0-1,90-180,Body Height,Creatinine,0.0001308789405172
0-150,0-1,180-365,Body Height,Creatinine,0.0002582206123719
0-150,0-1,365-730,Body Height,Creatinine,0.0006260965532854
0-150,0-1,730-inf,Body Height,Creatinine,0.0020374667496745
0-150,0-150,0-7,Body Height,Body Height,0.0004916803441054
0-150,0-150,7-14,Body Height,Body Height,0.0003042051049861
0-150,0-150,14-30,Body Height,Body Height,0.00082064632973
0-150,0-150,30-60,Body Height,Body Height,0.0018676778538683
0-150,0-150,60-90,Body Height,Body Height,0.0023452091233233
0-150,0-150,90-180,Body Height,Body Height,0.0076192766993038
0-150,0-150,180-365,Body Height,Body Height,0.0188005829418756
0-150,0-150,365-730,Body Height,Body Height,0.0242904239062765
0-150,0-150,730-inf,Body Height,Body Height,0.0524152470428434
0-150,0-35,7-14,Body Height,Carbon Dioxide,7.074537325258928e-06
0-150,0-35,14-30,Body Height,Carbon Dioxide,7.074537325258928e-06
0-150,0-35,30-60,Body Height,Carbon Dioxide,1.768634331314732e-05
0-150,0-35,60-90,Body Height,Carbon Dioxide,4.598449261418303e-05
0-150,0-35,90-180,Body Height,Carbon Dioxide,0.0001414907465051
0-150,0-35,180-365,Body Height,Carbon Dioxide,0.0002865187616729
0-150,0-35,365-730,Body Height,Carbon Dioxide,0.0006933046578753
0-150,0-35,730-inf,Body Height,Carbon Dioxide,0.0022320165261191
0-150,0-50,0-7,Body Height,Body Weight,0.0003890995528892
0-150,0-50,7-14,Body Height,Body Weight,0.0001768634331314
0-150,0-50,14-30,Body Height,Body Weight,0.0005376648367196
0-150,0-50,30-60,Body Height,Body Weight,0.0013972211217386
0-150,0-50,60-90,Body Height,Body Weight,0.0020551530929877
0-150,0-50,90-180,Body Height,Body Weight,0.0075591431320391
0-150,0-50,180-365,Body Height,Body Weight,0.0187828965985624
0-150,0-50,365-730,Body Height,Body Weight,0.0244566755334201
0-150,0-50,730-inf,Body Height,Body Weight,0.0562036617805195
