cause,effect,lag_bin,cause_type,effect_type,conditional_probability
3-5,0-60,14-30,Albumin,Diastolic Blood Pressure,0.0012953367875647
3-5,0-60,30-60,Albumin,Diastolic Blood Pressure,0.0025906735751295
3-5,0-60,60-90,Albumin,Diastolic Blood Pressure,0.0025906735751295
3-5,0-60,90-180,Albumin,Diastolic Blood Pressure,0.0038860103626943
3-5,0-60,180-365,Albumin,Diastolic Blood Pressure,0.0116580310880829
3-5,0-60,365-730,Albumin,Diastolic Blood Pressure,0.0233160621761658
3-5,0-60,730-inf,Albumin,Diastolic Blood Pressure,0.0181347150259067
3-5,0-90,30-60,Albumin,Systolic Blood Pressure,0.0012953367875647
3-5,0-90,90-180,Albumin,Systolic Blood Pressure,0.0012953367875647
3-5,0-90,180-365,Albumin,Systolic Blood Pressure,0.0038860103626943
3-5,0-90,365-730,Albumin,Systolic Blood Pressure,0.0103626943005181
3-5,0-90,730-inf,Albumin,Systolic Blood Pressure,0.0116580310880829
3-5,120-140,14-30,Albumin,Systolic Blood Pressure,0.0012953367875647
3-5,120-140,90-180,Albumin,Systolic Blood Pressure,0.0038860103626943
3-5,120-140,180-365,Albumin,Systolic Blood Pressure,0.0025906735751295
3-5,120-140,365-730,Albumin,Systolic Blood Pressure,0.005181347150259
3-5,120-140,730-inf,Albumin,Systolic Blood Pressure,0.0272020725388601
3-5,140-inf,365-730,Albumin,Systolic Blood Pressure,0.0012953367875647
3-5,140-inf,730-inf,Albumin,Systolic Blood Pressure,0.0155440414507772
3-5,150-170,14-30,Albumin,Body Height,0.0012953367875647
3-5,150-170,90-180,Albumin,Body Height,0.0038860103626943
3-5,150-170,180-365,Albumin,Body Height,0.0038860103626943
3-5,150-170,365-730,Albumin,Body Height,0.0103626943005181
3-5,150-170,730-inf,Albumin,Body Height,0.0466321243523316
3-5,170-190,14-30,Albumin,Body Height,0.0012953367875647
3-5,170-190,30-60,Albumin,Body Height,0.0025906735751295
3-5,170-190,60-90,Albumin,Body Height,0.0025906735751295
