cause,effect,lag_bin,cause_type,effect_type,conditional_probability
0-70,0-1,0-7,Glucose,Creatinine,0.0088699942266309
0-70,0-1,7-14,Glucose,Creatinine,0.0015745551881593
0-70,0-1,14-30,Glucose,Creatinine,0.0050385766021099
0-70,0-1,30-60,Glucose,Creatinine,0.0102346087230357
0-70,0-1,60-90,Glucose,Creatinine,0.0048286359103553
0-70,0-1,90-180,Glucose,Creatinine,5.248517293864483e-05
0-70,0-1,730-inf,Glucose,Creatinine,0.0048811210832939
0-70,0-150,180-365,Glucose,Body Height,5.248517293864483e-05
0-70,0-35,0-7,Glucose,Carbon Dioxide,0.0138560856558022
0-70,0-35,7-14,Glucose,Carbon Dioxide,0.0025192883010549
0-70,0-35,14-30,Glucose,Carbon Dioxide,0.0068230724820238
0-70,0-35,30-60,Glucose,Carbon Dioxide,0.0128588673699679
0-70,0-35,60-90,Glucose,Carbon Dioxide,0.0053534876397417
0-70,0-35,90-180,Glucose,Carbon Dioxide,0.0002624258646932
0-70,0-35,730-inf,Glucose,Carbon Dioxide,0.0089749645725082
0-70,0-50,180-365,Glucose,Body Weight,5.248517293864483e-05
0-70,0-60,7-14,Glucose,Diastolic Blood Pressure,0.0002624258646932
0-70,0-60,14-30,Glucose,Diastolic Blood Pressure,0.0004198813835091
0-70,0-60,30-60,Glucose,Diastolic Blood Pressure,0.0002624258646932
0-70,0-60,60-90,Glucose,Diastolic Blood Pressure,0.0001049703458772
0-70,0-60,90-180,Glucose,Diastolic Blood Pressure,0.0008922479399569
0-70,0-60,180-365,Glucose,Diastolic Blood Pressure,0.000734792421141
0-70,0-60,365-730,Glucose,Diastolic Blood Pressure,0.0022568624363617
0-70,0-60,730-inf,Glucose,Diastolic Blood Pressure,0.0058258541961895
0-70,0-70,0-7,Glucose,Glucose,0.0074528945572875
0-70,0-70,7-14,Glucose,Glucose,0.000734792421141
0-70,0-70,14-30,Glucose,Glucose,0.0013121293234661
0-70,0-70,30-60,Glucose,Glucose,0.0032015955492573
0-70,0-70,60-90,Glucose,Glucose,0.0011021886317115
0-70,0-70,730-inf,Glucose,Glucose,0.0016270403610979
0-70,0-8,0-7,Glucose,Calcium,0.0003673962105705
0-70,0-8,7-14,Glucose,Calcium,5.248517293864483e-05
0-70,0-8,14-30,Glucose,Calcium,0.0002099406917545
0-70,0-8,30-60,Glucose,Calcium,0.0007872775940796
0-70,0-8,60-90,Glucose,Calcium,0.0002624258646932
0-70,0-8,730-inf,Glucose,Calcium,0.0003673962105705
0-70,0-90,7-14,Glucose,Systolic Blood Pressure,5.248517293864483e-05
0-70,0-90,14-30,Glucose,Systolic Blood Pressure,0.0001049703458772
0-70,0-90,30-60,Glucose,Systolic Blood Pressure,0.0002624258646932
0-70,0-90,60-90,Glucose,Systolic Blood Pressure,0.0001049703458772
0-70,0-90,90-180,Glucose,Systolic Blood Pressure,0.0006823072482023
0-70,0-90,180-365,Glucose,Systolic Blood Pressure,0.0005248517293864
0-70,0-90,365-730,Glucose,Systolic Blood Pressure,0.0011021886317115
0-70,0-90,730-inf,Glucose,Systolic Blood Pressure,0.0019419513987298
0-70,1-1,0-7,Glucose,Creatinine,0.0018894662257912
0-70,1-1,7-14,Glucose,Creatinine,0.0008922479399569
0-70,1-1,14-30,Glucose,Creatinine,0.0016795255340366
0-70,1-1,30-60,Glucose,Creatinine,0.0020994069175457
0-70,1-1,60-90,Glucose,Creatinine,0.0005248517293864
0-70,1-1,90-180,Glucose,Creatinine,0.0002099406917545
0-70,1-1,730-inf,Glucose,Creatinine,0.0022568624363617
0-70,1-inf,0-7,Glucose,Creatinine,0.00309662520338
0-70,1-inf,7-14,Glucose,Creatinine,5.248517293864483e-05
0-70,1-inf,14-30,Glucose,Creatinine,0.0001049703458772
0-70,1-inf,30-60,Glucose,Creatinine,0.0005248517293864
0-70,1-inf,730-inf,Glucose,Creatinine,0.0018369810528525
0-70,107-inf,0-7,Glucose,Chloride,0.004723665564478
0-70,107-inf,7-14,Glucose,Chloride,0.000734792421141
0-70,107-inf,14-30,Glucose,Chloride,0.002204377263423
0-70,107-inf,30-60,Glucose,Chloride,0.0058783393691282
0-70,107-inf,60-90,Glucose,Chloride,0.0020994069175457
0-70,107-inf,90-180,Glucose,Chloride,0.0002624258646932
0-70,107-inf,730-inf,Glucose,Chloride,0.0040938434892142
0-70,120-140,7-14,Glucose,Systolic Blood Pressure,0.000577336902325
0-70,120-140,14-30,Glucose,Systolic Blood Pressure,0.0004723665564478
0-70,120-140,30-60,Glucose,Systolic Blood Pressure,0.0003149110376318
0-70,120-140,60-90,Glucose,Systolic Blood Pressure,0.0003149110376318
0-70,120-140,90-180,Glucose,Systolic Blood Pressure,0.0011546738046501
0-70,120-140,180-365,Glucose,Systolic Blood Pressure,0.0025192883010549
0-70,120-140,365-730,Glucose,Systolic Blood Pressure,0.0044087545268461
0-70,120-140,730-inf,Glucose,Systolic Blood Pressure,0.0183698105285256
0-70,135-145,0-7,Glucose,Sodium,0.0138560856558022
0-70,135-145,7-14,Glucose,Sodium,0.0025192883010549
0-70,135-145,14-30,Glucose,Sodium,0.0068230724820238
0-70,135-145,30-60,Glucose,Sodium,0.0128588673699679
0-70,135-145,60-90,Glucose,Sodium,0.0053534876397417
0-70,135-145,90-180,Glucose,Sodium,0.0002624258646932
0-70,135-145,730-inf,Glucose,Sodium,0.0089749645725082
0-70,140-inf,14-30,Glucose,Systolic Blood Pressure,5.248517293864483e-05
0-70,140-inf,30-60,Glucose,Systolic Blood Pressure,5.248517293864483e-05
0-70,140-inf,90-180,Glucose,Systolic Blood Pressure,0.0001574555188159
0-70,140-inf,180-365,Glucose,Systolic Blood Pressure,0.0003149110376318
0-70,140-inf,365-730,Glucose,Systolic Blood Pressure,0.0003149110376318
0-70,140-inf,730-inf,Glucose,Systolic Blood Pressure,0.00309662520338
0-70,150-170,7-14,Glucose,Body Height,0.0017320107069752
0-70,150-170,14-30,Glucose,Body Height,0.0011021886317115
0-70,150-170,30-60,Glucose,Body Height,0.0006298220752637
0-70,150-170,60-90,Glucose,Body Height,0.0011546738046501
0-70,150-170,90-180,Glucose,Body Height,0.0020469217446071
0-70,150-170,180-365,Glucose,Body Height,0.0045137248727234
0-70,150-170,365-730,Glucose,Body Height,0.0076628352490421
0-70,150-170,730-inf,Glucose,Body Height,0.0258751902587519
0-70,170-190,7-14,Glucose,Body Height,0.0006298220752637
0-70,170-190,14-30,Glucose,Body Height,0.0004723665564478
0-70,170-190,30-60,Glucose,Body Height,0.000734792421141
0-70,170-190,60-90,Glucose,Body Height,0.0004198813835091
0-70,170-190,90-180,Glucose,Body Height,0.0018369810528525
0-70,170-190,180-365,Glucose,Body Height,0.0028341993386868
0-70,170-190,365-730,Glucose,Body Height,0.0068230724820238
0-70,170-190,730-inf,Glucose,Body Height,0.0219388022883535
0-70,190-inf,90-180,Glucose,Body Height,5.248517293864483e-05
0-70,190-inf,180-365,Glucose,Body Height,0.0006298220752637
0-70,190-inf,365-730,Glucose,Body Height,0.0001574555188159
0-70,190-inf,730-inf,Glucose,Body Height,0.000577336902325
0-70,3-5,0-7,Glucose,Potassium,0.0105495197606676
0-70,3-5,7-14,Glucose,Potassium,0.0021518920904844
0-70,3-5,14-30,Glucose,Potassium,0.0059833097150055
0-70,3-5,30-60,Glucose,Potassium,0.0115992232194405
0-70,3-5,60-90,Glucose,Potassium,0.0048811210832939
0-70,3-5,90-180,Glucose,Potassium,0.0002624258646932
0-70,3-5,730-inf,Glucose,Potassium,0.0080827166325513
0-70,5-inf,0-7,Glucose,Potassium,0.0033065658951346
0-70,5-inf,7-14,Glucose,Potassium,0.0003673962105705
0-70,5-inf,14-30,Glucose,Potassium,0.0008397627670183
0-70,5-inf,30-60,Glucose,Potassium,0.0012596441505274
0-70,5-inf,60-90,Glucose,Potassium,0.0004723665564478
0-70,5-inf,730-inf,Glucose,Potassium,0.0008922479399569
0-70,50-70,7-14,Glucose,Body Weight,0.0001574555188159
0-70,50-70,14-30,Glucose,Body Weight,0.0001049703458772
0-70,50-70,60-90,Glucose,Body Weight,0.0003673962105705
0-70,50-70,90-180,Glucose,Body Weight,5.248517293864483e-05
0-70,50-70,180-365,Glucose,Body Weight,0.0001049703458772
0-70,50-70,365-730,Glucose,Body Weight,0.0006298220752637
0-70,50-70,730-inf,Glucose,Body Weight,0.0003673962105705
0-70,60-80,7-14,Glucose,Diastolic Blood Pressure,0.0010497034587728
0-70,60-80,14-30,Glucose,Diastolic Blood Pressure,0.0004198813835091
0-70,60-80,30-60,Glucose,Diastolic Blood Pressure,0.000734792421141
0-70,60-80,60-90,Glucose,Diastolic Blood Pressure,0.0009447331128956
0-70,60-80,90-180,Glucose,Diastolic Blood Pressure,0.001469584842282
0-70,60-80,180-365,Glucose,Diastolic Blood Pressure,0.0026242586469322
0-70,60-80,365-730,Glucose,Diastolic Blood Pressure,0.0044612396997848
0-70,60-80,730-inf,Glucose,Diastolic Blood Pressure,0.0154831260169002
0-70,70-90,7-14,Glucose,Body Weight,0.0019944365716685
0-70,70-90,14-30,Glucose,Body Weight,0.0013646144964047
