cause,effect,lag_bin,cause_type,effect_type,conditional_probability
3-5,0-1,0-7,Potassium,Creatinine,0.0085384034540843
3-5,0-1,7-14,Potassium,Creatinine,0.0024976282212627
3-5,0-1,14-30,Potassium,Creatinine,0.0048597262289686
3-5,0-1,30-60,Potassium,Creatinine,0.0080930898952545
3-5,0-1,60-90,Potassium,Creatinine,0.0034269782570814
3-5,0-1,90-180,Potassium,Creatinine,0.0010648802493755
3-5,0-1,730-inf,Potassium,Creatinine,0.0034076167980018
3-5,0-100,730-inf,Potassium,Alkaline Phosphatase,9.680729539778118e-06
3-5,0-150,7-14,Potassium,Body Height,9.680729539778118e-06
3-5,0-150,14-30,Potassium,Body Height,9.680729539778118e-06
3-5,0-150,30-60,Potassium,Body Height,4.8403647698890585e-05
3-5,0-150,60-90,Potassium,Body Height,2.9042188619334352e-05
3-5,0-150,90-180,Potassium,Body Height,9.680729539778116e-05
3-5,0-150,180-365,Potassium,Body Height,0.0003291448043524
3-5,0-150,365-730,Potassium,Body Height,0.0003194640748126
3-5,0-150,730-inf,Potassium,Body Height,0.0006582896087049
3-5,0-35,0-7,Potassium,Carbon Dioxide,0.0163701136517647
3-5,0-35,7-14,Potassium,Carbon Dioxide,0.0035721892001781
3-5,0-35,14-30,Potassium,Carbon Dioxide,0.0078220294681407
3-5,0-35,30-60,Potassium,Carbon Dioxide,0.0124397374586148
3-5,0-35,60-90,Potassium,Carbon Dioxide,0.0044531355882979
3-5,0-35,90-180,Potassium,Carbon Dioxide,0.001219771922012
3-5,0-35,730-inf,Potassium,Carbon Dioxide,0.0062827934713159
3-5,0-50,7-14,Potassium,Body Weight,9.680729539778118e-06
3-5,0-50,14-30,Potassium,Body Weight,9.680729539778118e-06
3-5,0-50,30-60,Potassium,Body Weight,5.8084377238668703e-05
3-5,0-50,60-90,Potassium,Body Weight,2.9042188619334352e-05
3-5,0-50,90-180,Potassium,Body Weight,9.680729539778116e-05
3-5,0-50,180-365,Potassium,Body Weight,0.0003388255338922
3-5,0-50,365-730,Potassium,Body Weight,0.0003678677225115
3-5,0-50,730-inf,Potassium,Body Weight,0.0007066932564038
3-5,0-60,7-14,Potassium,Diastolic Blood Pressure,0.0001161687544773
3-5,0-60,14-30,Potassium,Diastolic Blood Pressure,0.0001548916726364
3-5,0-60,30-60,Potassium,Diastolic Blood Pressure,0.0004259520997502
3-5,0-60,60-90,Potassium,Diastolic Blood Pressure,0.0001548916726364
3-5,0-60,90-180,Potassium,Diastolic Blood Pressure,0.0005130786656082
3-5,0-60,180-365,Potassium,Diastolic Blood Pressure,0.0007938198222618
3-5,0-60,365-730,Potassium,Diastolic Blood Pressure,0.0015392359968247
3-5,0-60,730-inf,Potassium,Diastolic Blood Pressure,0.0043950512110592
