cause,effect,lag_bin,cause_type,effect_type,conditional_probability
Acute respiratory failure (disorder),0-60,0-7,condition,Diastolic Blood Pressure,0.0025951557093425
Acute respiratory failure (disorder),0-60,7-14,condition,Diastolic Blood Pressure,0.0008650519031141
Acute respiratory failure (disorder),0-90,0-7,condition,Systolic Blood Pressure,0.0043252595155709
Acute respiratory failure (disorder),0-90,365-730,condition,Systolic Blood Pressure,0.0008650519031141
Acute respiratory failure (disorder),120-140,0-7,condition,Systolic Blood Pressure,0.0527681660899653
Acute respiratory failure (disorder),120-140,7-14,condition,Systolic Blood Pressure,0.0346020761245674
Acute respiratory failure (disorder),120-140,14-30,condition,Systolic Blood Pressure,0.0034602076124567
Acute respiratory failure (disorder),120-140,180-365,condition,Systolic Blood Pressure,0.0008650519031141
Acute respiratory failure (disorder),120-140,365-730,condition,Systolic Blood Pressure,0.0025951557093425
Acute respiratory failure (disorder),120-140,730-inf,condition,Systolic Blood Pressure,0.0060553633217993
Acute respiratory failure (disorder),140-inf,0-7,condition,Systolic Blood Pressure,0.0121107266435986
Acute respiratory failure (disorder),140-inf,7-14,condition,Systolic Blood Pressure,0.0051903114186851
Acute respiratory failure (disorder),140-inf,730-inf,condition,Systolic Blood Pressure,0.0017301038062283
Acute respiratory failure (disorder),150-170,90-180,condition,Body Height,0.0008650519031141
Acute respiratory failure (disorder),150-170,180-365,condition,Body Height,0.0008650519031141
Acute respiratory failure (disorder),150-170,365-730,condition,Body Height,0.0017301038062283
Acute respiratory failure (disorder),150-170,730-inf,condition,Body Height,0.0043252595155709
Acute respiratory failure (disorder),170-190,14-30,condition,Body Height,0.0008650519031141
Acute respiratory failure (disorder),170-190,180-365,condition,Body Height,0.0017301038062283
Acute respiratory failure (disorder),170-190,365-730,condition,Body Height,0.0034602076124567
Acute respiratory failure (disorder),170-190,730-inf,condition,Body Height,0.0077854671280276
Acute respiratory failure (disorder),50-70,0-7,condition,Body Weight,0.0181660899653979
Acute respiratory failure (disorder),50-70,7-14,condition,Body Weight,0.0121107266435986
Acute respiratory failure (disorder),50-70,14-30,condition,Body Weight,0.0034602076124567
Acute respiratory failure (disorder),50-70,730-inf,condition,Body Weight,0.0008650519031141
Acute respiratory failure (disorder),60-80,0-7,condition,Diastolic Blood Pressure,0.0406574394463667
Acute respiratory failure (disorder),60-80,7-14,condition,Diastolic Blood Pressure,0.0328719723183391
Acute respiratory failure (disorder),60-80,14-30,condition,Diastolic Blood Pressure,0.0051903114186851
Acute respiratory failure (disorder),60-80,90-180,condition,Diastolic Blood Pressure,0.0008650519031141
Acute respiratory failure (disorder),60-80,180-365,condition,Diastolic Blood Pressure,0.0017301038062283
Acute respiratory failure (disorder),60-80,365-730,condition,Diastolic Blood Pressure,0.0017301038062283
Acute respiratory failure (disorder),60-80,730-inf,condition,Diastolic Blood Pressure,0.0051903114186851
Acute respiratory failure (disorder),70-90,0-7,condition,Body Weight,0.0501730103806228
Acute respiratory failure (disorder),70-90,7-14,condition,Body Weight,0.0320069204152249
