metric,condition,conditional_probability
Heart rate,Medication review due (situation),0.21285914187580643
Heart rate,Stress (finding),0.08283206425936358
Heart rate,Gingivitis (disorder),0.07710760172279063
Heart rate,Full-time employment (finding),0.07336398495284133
Heart rate,Part-time employment (finding),0.047249532047903754
Heart rate,Social isolation (finding),0.02791356970214622
Heart rate,Limited social contact (finding),0.027713667835789702
Heart rate,Not in labor force (finding),0.026786850091773128
Heart rate,Gingival disease (disorder),0.023170443600414342
Heart rate,Viral sinusitis (disorder),0.021080560452141676
Heart rate,Victim of intimate partner abuse (finding),0.01786395769349592
Heart rate,Primary dental caries (disorder),0.017191560506660368
Heart rate,Reports of violence in the environment (finding),0.01599214930852127
Heart rate,Acute viral pharyngitis (disorder),0.01283006524070002
Heart rate,Received higher education (finding),0.012230359641630472
Heart rate,Unemployed (finding),0.011085467134315881
Heart rate,Acute bronchitis (disorder),0.010013266214767296
Heart rate,Normal pregnancy,0.009613462482054264
Heart rate,Body mass index 30+ - obesity (finding),0.009140967161575227
Heart rate,Essential hypertension (disorder),0.008904719501335707
Heart rate,Prediabetes,0.0075599251276646014
Heart rate,Anemia (disorder),0.0071782942918930705
Heart rate,Risk activity involvement (finding),0.005778981227397459
Heart rate,Transport problem (finding),0.005251967216093918
Heart rate,Lack of access to transportation (finding),0.005215621422210915
Heart rate,Infection of tooth (disorder),0.0051611027313864105
Heart rate,Has a criminal record (finding),0.0049066821742053904
Heart rate,Unhealthy alcohol drinking behavior (finding),0.004833990586439385
Heart rate,Chronic pain (finding),0.0047794718956148795
Heart rate,Disorder of kidney due to diabetes mellitus (disorder),0.004706780307848874
Heart rate,Metabolic syndrome X (disorder),0.004452359750667854
Heart rate,Chronic sinusitis (disorder),0.004416013956784851
Heart rate,Chronic kidney disease stage 1 (disorder),0.0043978410598433494
Heart rate,Chronic low back pain (finding),0.004361495265960347
Heart rate,Microalbuminuria due to type 2 diabetes mellitus (disorder),0.004161593399603831
Heart rate,Chronic kidney disease stage 2 (disorder),0.0039798644301888165
Heart rate,Past pregnancy history of miscarriage (situation),0.003925345739364312
Heart rate,Dental filling lost (finding),0.003834481254656805
Heart rate,Severe anxiety (panic) (finding),0.003798135460773802
Heart rate,Housing unsatisfactory (finding),0.003689098079124793
Heart rate,Loose dental filling (finding),0.0035800606974757845
Heart rate,Otitis media,0.0035255420066512802
Heart rate,Loss of teeth (disorder),0.00339833172806077
Heart rate,Sprain (morphologic abnormality),0.00339833172806077
Heart rate,Abnormal findings diagnostic imaging heart+coronary circulat (finding),0.0033619859341777673
Heart rate,Leaking dental filling (finding),0.003307467243353263
Heart rate,Ischemic heart disease (disorder),0.0032892943464117616
Heart rate,Fractured dental filling (finding),0.0032529485525287587
Heart rate,Suspected COVID-19,0.003180256964762753
Heart rate,Received certificate of high school equivalency (finding),0.0031257382739382487
Heart rate,Laceration - injury (disorder),0.0031075653769967473
Heart rate,Proteinuria due to type 2 diabetes mellitus (disorder),0.0030530466861722425
Heart rate,COVID-19,0.0030530466861722425
Heart rate,Acute infective cystitis (disorder),0.0029985279953477382
Heart rate,Streptococcal sore throat (disorder),0.002944009304523234
Heart rate,Fever (finding),0.0029258364075817325
Heart rate,Fracture of bone (disorder),0.002871317716757228
Heart rate,Chronic kidney disease stage 3 (disorder),0.0028531448198157268
Heart rate,Chronic neck pain (finding),0.0027622803351082196
Heart rate,Sprain of ankle,0.0024715139840441967
Heart rate,Misuses drugs (finding),0.0024715139840441967
Heart rate,Drug overdose,0.002435168190161194
Heart rate,Cough (finding),0.0019444999727406547
Heart rate,Refugee (person),0.0019263270757991532
Heart rate,Hyperlipidemia,0.0019081541788576518
Heart rate,Awaiting transplantation of kidney (situation),0.0018718083849746487
Heart rate,Chronic kidney disease stage 4 (disorder),0.0017809439002671415
Heart rate,History of tubal ligation (situation),0.0017627710033256401
Heart rate,History of renal transplant (situation),0.0017082523125011358
Heart rate,Loss of taste (finding),0.0016900794155596344
Heart rate,Concussion injury of brain (disorder),0.0016900794155596344
Heart rate,Only received primary school education (finding),0.0015992149308521272
Heart rate,Polyp of colon,0.001544696240027623
Heart rate,Sinusitis (disorder),0.001472004652261617
Heart rate,Acute bacterial sinusitis (disorder),0.001472004652261617
Heart rate,Diabetes mellitus type 2 (disorder),0.0014174859614371127
Heart rate,Hypertriglyceridemia (disorder),0.0013811401675541098
Heart rate,History of coronary artery bypass grafting (situation),0.0013629672706126084
Heart rate,Miscarriage in first trimester,0.001344794373671107
Heart rate,Fatigue (finding),0.0013266214767296055
Heart rate,Served in armed forces (finding),0.0012721027859051012
Heart rate,History of appendectomy,0.0012721027859051012
Heart rate,Injury of neck (disorder),0.001217584095080597
Heart rate,Whiplash injury to neck,0.001217584095080597
Heart rate,Concussion with no loss of consciousness,0.001144892507314591
Heart rate,Sleep disorder (disorder),0.0010540280226070838
Heart rate,Sputum finding (finding),0.0009995093317825795
Heart rate,Osteoarthritis of knee,0.000981336434841078
Heart rate,Alveolitis of jaw (disorder),0.000981336434841078
Heart rate,End-stage renal disease (disorder),0.000981336434841078
Heart rate,Chronic intractable migraine without aura,0.0009449906409580752
Heart rate,Dependent drug abuse (disorder),0.0009449906409580752
Heart rate,History of myocardial infarction (situation),0.0009449906409580752
Heart rate,Impacted molars,0.0009268177440165736
Heart rate,Sprain of wrist,0.0009268177440165736
Heart rate,Chronic pain,0.0009086448470750722
Heart rate,Burn injury (morphologic abnormality),0.0009086448470750722
Heart rate,Recurrent urinary tract infection (disorder),0.0008359532593090665
Heart rate,Dyspnea (finding),0.000817780362367565
Heart rate,Wheezing (finding),0.000817780362367565
Heart rate,Complete miscarriage (disorder),0.0007814345684845622
Heart rate,Pneumonia (disorder),0.0007632616715430606
Heart rate,Obstructive sleep apnea syndrome (disorder),0.0007632616715430606
Heart rate,Osteoporosis (disorder),0.0007450887746015592
Heart rate,Respiratory distress (finding),0.0007450887746015592
Heart rate,Hypoxemia (disorder),0.0007450887746015592
Heart rate,Laceration of thigh,0.0007269158776600578
Heart rate,History of single seizure (situation),0.0006723971868355535
Heart rate,Fracture of clavicle,0.0006723971868355535
Heart rate,Seizure disorder,0.0006723971868355535
Heart rate,Laceration of hand,0.000654224289894052
Heart rate,Laceration of forearm,0.000654224289894052
Heart rate,Hyperglycemia (disorder),0.0006360513929525506
Heart rate,Fracture of ankle,0.0006360513929525506
Heart rate,Facial laceration,0.0005997055990695476
Heart rate,Childhood asthma,0.0005815327021280462
Heart rate,Fracture subluxation of wrist,0.0005633598051865448
Heart rate,Perennial allergic rhinitis,0.0005451869082450433
Heart rate,Sepsis (disorder),0.0005451869082450433
Heart rate,Fracture of forearm,0.0005451869082450433
Heart rate,Fibromyalgia (disorder),0.0005270140113035419
Heart rate,Headache (finding),0.0005270140113035419
Heart rate,Child attention deficit disorder,0.0005088411143620405
Heart rate,Antepartum eclampsia,0.0005088411143620405
Heart rate,Preeclampsia,0.0005088411143620405
Heart rate,Neuropathy due to type 2 diabetes mellitus (disorder),0.0005088411143620405
Heart rate,Epidermal burn of skin (disorder),0.0005088411143620405
Heart rate,Chill (finding),0.0005088411143620405
Heart rate,Joint pain (finding),0.000490668217420539
Heart rate,Muscle pain (finding),0.000490668217420539
Heart rate,Osteoarthritis of hip,0.000490668217420539
Heart rate,Laceration of foot,0.0004724953204790376
Heart rate,Acute non-ST segment elevation myocardial infarction (disorder),0.0004724953204790376
Heart rate,Myocardial infarction (disorder),0.0004543224235375361
Heart rate,Acute ST segment elevation myocardial infarction (disorder),0.0004543224235375361
Heart rate,Injury of knee (disorder),0.00043614952659603467
Heart rate,Sore throat symptom (finding),0.00043614952659603467
Heart rate,Resorption of alveolar process due to dental trauma (disorder),0.00043614952659603467
Heart rate,Alzheimer's disease (disorder),0.00043614952659603467
Heart rate,Recurrent rectal polyp,0.00041797662965453324
Heart rate,Suspected prostate cancer (situation),0.00041797662965453324
Heart rate,Injury of tendon of the rotator cuff of shoulder,0.00041797662965453324
Heart rate,Concussion with loss of consciousness,0.00041797662965453324
Heart rate,Epilepsy,0.0003998037327130318
Heart rate,Atopic dermatitis,0.0003998037327130318
Heart rate,Blighted ovum,0.0003816308357715303
Heart rate,Carcinoma in situ of prostate (disorder),0.0003816308357715303
Heart rate,Chronic congestive heart failure (disorder),0.0003816308357715303
Heart rate,Neoplasm of prostate,0.0003816308357715303
Heart rate,Retinopathy due to type 2 diabetes mellitus (disorder),0.0003816308357715303
Heart rate,Perennial allergic rhinitis with seasonal variation,0.0003634579388300289
Heart rate,Sterilization requested (situation),0.00034528504188852745
Heart rate,Second degree burn,0.000327112144947026
Heart rate,Fracture of rib,0.000327112144947026
Heart rate,Localized  primary osteoarthritis of the hand,0.000327112144947026
Heart rate,Sepsis caused by virus (disorder),0.000327112144947026
Heart rate,Malignant neoplasm of breast (disorder),0.000327112144947026
Heart rate,Torus palatinus (disorder),0.0003089392480055246
Heart rate,Acute respiratory failure (disorder),0.0003089392480055246
Heart rate,Sleep apnea (disorder),0.0002907663510640231
Heart rate,Homeless (finding),0.0002907663510640231
Heart rate,Smokes tobacco daily,0.0002907663510640231
