cause,effect,lag_bin,cause_type,effect_type,conditional_probability
Pneumonia (disorder),0-1,730-inf,condition,Creatinine,0.0010457516339869
Pneumonia (disorder),0-35,180-365,condition,Carbon Dioxide,0.0002614379084967
Pneumonia (disorder),0-35,730-inf,condition,Carbon Dioxide,0.0020915032679738
Pneumonia (disorder),0-50,0-7,condition,Body Weight,0.0036601307189542
Pneumonia (disorder),0-50,7-14,condition,Body Weight,0.0033986928104575
Pneumonia (disorder),0-50,14-30,condition,Body Weight,0.0002614379084967
Pneumonia (disorder),0-50,30-60,condition,Body Weight,0.0002614379084967
Pneumonia (disorder),0-50,90-180,condition,Body Weight,0.0002614379084967
Pneumonia (disorder),0-50,180-365,condition,Body Weight,0.0005228758169934
Pneumonia (disorder),0-50,365-730,condition,Body Weight,0.0007843137254901
Pneumonia (disorder),0-50,730-inf,condition,Body Weight,0.0033986928104575
Pneumonia (disorder),0-60,0-7,condition,Diastolic Blood Pressure,0.0015686274509803
Pneumonia (disorder),0-60,7-14,condition,Diastolic Blood Pressure,0.0005228758169934
Pneumonia (disorder),0-60,60-90,condition,Diastolic Blood Pressure,0.0002614379084967
Pneumonia (disorder),0-60,90-180,condition,Diastolic Blood Pressure,0.0002614379084967
Pneumonia (disorder),0-60,730-inf,condition,Diastolic Blood Pressure,0.0005228758169934
Pneumonia (disorder),0-90,0-7,condition,Systolic Blood Pressure,0.0013071895424836
Pneumonia (disorder),0-90,365-730,condition,Systolic Blood Pressure,0.0005228758169934
Pneumonia (disorder),1-1,730-inf,condition,Creatinine,0.0002614379084967
Pneumonia (disorder),1-inf,180-365,condition,Creatinine,0.0002614379084967
Pneumonia (disorder),1-inf,730-inf,condition,Creatinine,0.0007843137254901
Pneumonia (disorder),107-inf,730-inf,condition,Chloride,0.0002614379084967
Pneumonia (disorder),120-140,0-7,condition,Systolic Blood Pressure,0.0366013071895424
Pneumonia (disorder),120-140,7-14,condition,Systolic Blood Pressure,0.0245751633986928
Pneumonia (disorder),120-140,14-30,condition,Systolic Blood Pressure,0.0018300653594771
Pneumonia (disorder),120-140,30-60,condition,Systolic Blood Pressure,0.0002614379084967
Pneumonia (disorder),120-140,60-90,condition,Systolic Blood Pressure,0.0007843137254901
Pneumonia (disorder),120-140,90-180,condition,Systolic Blood Pressure,0.0020915032679738
Pneumonia (disorder),120-140,180-365,condition,Systolic Blood Pressure,0.0020915032679738
Pneumonia (disorder),120-140,365-730,condition,Systolic Blood Pressure,0.0047058823529411
