cause,effect,lag_bin,cause_type,effect_type,conditional_probability
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-150,0-7,immunization,Body Height,0.0001054713249835
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-150,90-180,immunization,Body Height,0.0001054713249835
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-150,180-365,immunization,Body Height,0.0001845748187211
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-150,365-730,immunization,Body Height,7.910349373764008e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-150,730-inf,immunization,Body Height,5.2735662491760055e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-35,7-14,immunization,Carbon Dioxide,2.6367831245880027e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-35,30-60,immunization,Carbon Dioxide,2.6367831245880027e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-35,730-inf,immunization,Carbon Dioxide,5.2735662491760055e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-50,0-7,immunization,Body Weight,0.0002373104812129
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-50,7-14,immunization,Body Weight,2.6367831245880027e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-50,30-60,immunization,Body Weight,2.6367831245880027e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-50,60-90,immunization,Body Weight,5.2735662491760055e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-50,90-180,immunization,Body Weight,0.000210942649967
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-50,180-365,immunization,Body Weight,0.0005273566249176
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-50,365-730,immunization,Body Weight,0.0004482531311799
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-50,730-inf,immunization,Body Weight,0.0001054713249835
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,0-7,immunization,Diastolic Blood Pressure,2.6367831245880027e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,7-14,immunization,Diastolic Blood Pressure,5.2735662491760055e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,14-30,immunization,Diastolic Blood Pressure,0.0001054713249835
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,30-60,immunization,Diastolic Blood Pressure,0.0001582069874752
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,60-90,immunization,Diastolic Blood Pressure,7.910349373764008e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,90-180,immunization,Diastolic Blood Pressure,0.0014238628872775
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,180-365,immunization,Diastolic Blood Pressure,0.0065128543177323
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,365-730,immunization,Diastolic Blood Pressure,0.0062491760052735
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-60,730-inf,immunization,Diastolic Blood Pressure,0.0030323005932762
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,0-7,immunization,Systolic Blood Pressure,7.910349373764008e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,7-14,immunization,Systolic Blood Pressure,2.6367831245880027e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,14-30,immunization,Systolic Blood Pressure,0.0001054713249835
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,30-60,immunization,Systolic Blood Pressure,0.0001318391562294
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,60-90,immunization,Systolic Blood Pressure,0.0001054713249835
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,90-180,immunization,Systolic Blood Pressure,0.0015029663810151
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,180-365,immunization,Systolic Blood Pressure,0.0063019116677653
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,365-730,immunization,Systolic Blood Pressure,0.005932762030323
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,0-90,730-inf,immunization,Systolic Blood Pressure,0.0020303230059327
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,1-inf,7-14,immunization,Creatinine,2.6367831245880027e-05
COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,1-inf,30-60,immunization,Creatinine,2.6367831245880027e-05
