cause,effect,lag_bin,cause_type,effect_type,conditional_probability
0-8,0-1,0-7,Calcium,Creatinine,0.0076835515082527
0-8,0-1,7-14,Calcium,Creatinine,0.0025611838360842
0-8,0-1,14-30,Calcium,Creatinine,0.0056915196357427
0-8,0-1,30-60,Calcium,Creatinine,0.0071143995446784
0-8,0-1,60-90,Calcium,Creatinine,0.0005691519635742
0-8,0-1,90-180,Calcium,Creatinine,0.0017074558907228
0-8,0-1,730-inf,Calcium,Creatinine,0.0025611838360842
0-8,0-150,180-365,Calcium,Body Height,0.0002845759817871
0-8,0-35,0-7,Calcium,Carbon Dioxide,0.0102447353443369
0-8,0-35,7-14,Calcium,Carbon Dioxide,0.0028457598178713
0-8,0-35,14-30,Calcium,Carbon Dioxide,0.0088218554354012
0-8,0-35,30-60,Calcium,Carbon Dioxide,0.0122367672168468
0-8,0-35,60-90,Calcium,Carbon Dioxide,0.0036994877632327
0-8,0-35,90-180,Calcium,Carbon Dioxide,0.0019920318725099
0-8,0-35,730-inf,Calcium,Carbon Dioxide,0.0102447353443369
0-8,0-50,180-365,Calcium,Body Weight,0.0002845759817871
0-8,0-60,30-60,Calcium,Diastolic Blood Pressure,0.0002845759817871
0-8,0-60,60-90,Calcium,Diastolic Blood Pressure,0.0002845759817871
0-8,0-60,180-365,Calcium,Diastolic Blood Pressure,0.0002845759817871
0-8,0-60,365-730,Calcium,Diastolic Blood Pressure,0.0014228799089356
0-8,0-60,730-inf,Calcium,Diastolic Blood Pressure,0.0039840637450199
0-8,0-70,0-7,Calcium,Glucose,0.0011383039271485
0-8,0-70,7-14,Calcium,Glucose,0.0002845759817871
0-8,0-70,14-30,Calcium,Glucose,0.0017074558907228
0-8,0-70,30-60,Calcium,Glucose,0.002276607854297
0-8,0-70,60-90,Calcium,Glucose,0.0002845759817871
0-8,0-70,90-180,Calcium,Glucose,0.0002845759817871
0-8,0-70,730-inf,Calcium,Glucose,0.0019920318725099
0-8,0-8,0-7,Calcium,Calcium,0.0054069436539556
0-8,0-8,7-14,Calcium,Calcium,0.0002845759817871
0-8,0-8,14-30,Calcium,Calcium,0.0008537279453614
0-8,0-8,730-inf,Calcium,Calcium,0.0019920318725099
0-8,0-90,30-60,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,0-90,60-90,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,0-90,365-730,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,0-90,730-inf,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,1-1,0-7,Calcium,Creatinine,0.0025611838360842
0-8,1-1,7-14,Calcium,Creatinine,0.0002845759817871
0-8,1-1,14-30,Calcium,Creatinine,0.0031303357996585
0-8,1-1,30-60,Calcium,Creatinine,0.0051223676721684
0-8,1-1,60-90,Calcium,Creatinine,0.0031303357996585
0-8,1-1,90-180,Calcium,Creatinine,0.0002845759817871
0-8,1-1,730-inf,Calcium,Creatinine,0.0059760956175298
0-8,1-inf,730-inf,Calcium,Creatinine,0.0017074558907228
0-8,107-inf,0-7,Calcium,Chloride,0.006260671599317
0-8,107-inf,7-14,Calcium,Chloride,0.0017074558907228
0-8,107-inf,14-30,Calcium,Chloride,0.0031303357996585
0-8,107-inf,30-60,Calcium,Chloride,0.006260671599317
0-8,107-inf,60-90,Calcium,Chloride,0.0017074558907228
0-8,107-inf,90-180,Calcium,Chloride,0.0019920318725099
0-8,107-inf,730-inf,Calcium,Chloride,0.0045532157085941
0-8,120-140,7-14,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,120-140,14-30,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,120-140,30-60,Calcium,Systolic Blood Pressure,0.0005691519635742
0-8,120-140,60-90,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,120-140,90-180,Calcium,Systolic Blood Pressure,0.0017074558907228
0-8,120-140,180-365,Calcium,Systolic Blood Pressure,0.0036994877632327
0-8,120-140,365-730,Calcium,Systolic Blood Pressure,0.0073989755264655
0-8,120-140,730-inf,Calcium,Systolic Blood Pressure,0.0176437108708025
0-8,135-145,0-7,Calcium,Sodium,0.0102447353443369
0-8,135-145,7-14,Calcium,Sodium,0.0028457598178713
0-8,135-145,14-30,Calcium,Sodium,0.0088218554354012
0-8,135-145,30-60,Calcium,Sodium,0.0122367672168468
0-8,135-145,60-90,Calcium,Sodium,0.0036994877632327
0-8,135-145,90-180,Calcium,Sodium,0.0019920318725099
0-8,135-145,730-inf,Calcium,Sodium,0.0102447353443369
0-8,140-inf,14-30,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,140-inf,30-60,Calcium,Systolic Blood Pressure,0.0008537279453614
0-8,140-inf,90-180,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,140-inf,180-365,Calcium,Systolic Blood Pressure,0.0005691519635742
0-8,140-inf,365-730,Calcium,Systolic Blood Pressure,0.0002845759817871
0-8,140-inf,730-inf,Calcium,Systolic Blood Pressure,0.002276607854297
0-8,150-170,7-14,Calcium,Body Height,0.0019920318725099
0-8,150-170,14-30,Calcium,Body Height,0.0005691519635742
0-8,150-170,30-60,Calcium,Body Height,0.0017074558907228
0-8,150-170,60-90,Calcium,Body Height,0.002276607854297
0-8,150-170,90-180,Calcium,Body Height,0.0011383039271485
0-8,150-170,180-365,Calcium,Body Height,0.006260671599317
0-8,150-170,365-730,Calcium,Body Height,0.0102447353443369
0-8,150-170,730-inf,Calcium,Body Height,0.0290267501422879
0-8,170-190,7-14,Calcium,Body Height,0.0008537279453614
0-8,170-190,14-30,Calcium,Body Height,0.0002845759817871
0-8,170-190,30-60,Calcium,Body Height,0.0008537279453614
0-8,170-190,60-90,Calcium,Body Height,0.0005691519635742
0-8,170-190,90-180,Calcium,Body Height,0.0028457598178713
0-8,170-190,180-365,Calcium,Body Height,0.0031303357996585
0-8,170-190,365-730,Calcium,Body Height,0.0056915196357427
0-8,170-190,730-inf,Calcium,Body Height,0.0133750711439954
0-8,3-5,0-7,Calcium,Potassium,0.0096755833807626
0-8,3-5,7-14,Calcium,Potassium,0.0028457598178713
0-8,3-5,14-30,Calcium,Potassium,0.0068298235628912
0-8,3-5,30-60,Calcium,Potassium,0.010529311326124
0-8,3-5,60-90,Calcium,Potassium,0.0036994877632327
0-8,3-5,90-180,Calcium,Potassium,0.0019920318725099
0-8,3-5,730-inf,Calcium,Potassium,0.0088218554354012
0-8,5-inf,0-7,Calcium,Potassium,0.0005691519635742
0-8,5-inf,14-30,Calcium,Potassium,0.0019920318725099
0-8,5-inf,30-60,Calcium,Potassium,0.0017074558907228
0-8,5-inf,730-inf,Calcium,Potassium,0.0014228799089356
0-8,50-70,90-180,Calcium,Body Weight,0.0002845759817871
0-8,50-70,365-730,Calcium,Body Weight,0.0008537279453614
0-8,50-70,730-inf,Calcium,Body Weight,0.0002845759817871
0-8,60-80,7-14,Calcium,Diastolic Blood Pressure,0.0011383039271485
0-8,60-80,14-30,Calcium,Diastolic Blood Pressure,0.0002845759817871
0-8,60-80,30-60,Calcium,Diastolic Blood Pressure,0.0008537279453614
0-8,60-80,60-90,Calcium,Diastolic Blood Pressure,0.0008537279453614
0-8,60-80,90-180,Calcium,Diastolic Blood Pressure,0.0031303357996585
