cause,effect,lag_bin,cause_type,effect_type,conditional_probability
120-180,0-60,14-30,ALT (Elevated),Diastolic Blood Pressure,0.0013774104683195
120-180,0-60,30-60,ALT (Elevated),Diastolic Blood Pressure,0.0027548209366391
120-180,0-60,60-90,ALT (Elevated),Diastolic Blood Pressure,0.0027548209366391
120-180,0-60,90-180,ALT (Elevated),Diastolic Blood Pressure,0.0041322314049586
120-180,0-60,180-365,ALT (Elevated),Diastolic Blood Pressure,0.012396694214876
120-180,0-60,365-730,ALT (Elevated),Diastolic Blood Pressure,0.024793388429752
120-180,0-60,730-inf,ALT (Elevated),Diastolic Blood Pressure,0.0192837465564738
120-180,0-90,30-60,ALT (Elevated),Systolic Blood Pressure,0.0013774104683195
120-180,0-90,90-180,ALT (Elevated),Systolic Blood Pressure,0.0013774104683195
120-180,0-90,180-365,ALT (Elevated),Systolic Blood Pressure,0.0041322314049586
120-180,0-90,365-730,ALT (Elevated),Systolic Blood Pressure,0.0110192837465564
120-180,0-90,730-inf,ALT (Elevated),Systolic Blood Pressure,0.012396694214876
120-180,120-140,30-60,ALT (Elevated),Systolic Blood Pressure,0.0013774104683195
120-180,120-140,90-180,ALT (Elevated),Systolic Blood Pressure,0.0041322314049586
120-180,120-140,180-365,ALT (Elevated),Systolic Blood Pressure,0.0041322314049586
120-180,120-140,365-730,ALT (Elevated),Systolic Blood Pressure,0.0068870523415977
120-180,120-140,730-inf,ALT (Elevated),Systolic Blood Pressure,0.0179063360881542
120-180,150-170,90-180,ALT (Elevated),Body Height,0.0027548209366391
120-180,150-170,180-365,ALT (Elevated),Body Height,0.0055096418732782
120-180,150-170,365-730,ALT (Elevated),Body Height,0.0082644628099173
120-180,150-170,730-inf,ALT (Elevated),Body Height,0.024793388429752
120-180,170-190,14-30,ALT (Elevated),Body Height,0.0013774104683195
120-180,170-190,30-60,ALT (Elevated),Body Height,0.0041322314049586
120-180,170-190,60-90,ALT (Elevated),Body Height,0.0041322314049586
120-180,170-190,90-180,ALT (Elevated),Body Height,0.0082644628099173
120-180,170-190,180-365,ALT (Elevated),Body Height,0.012396694214876
120-180,170-190,365-730,ALT (Elevated),Body Height,0.0289256198347107
120-180,170-190,730-inf,ALT (Elevated),Body Height,0.0316804407713498
120-180,50-70,90-180,ALT (Elevated),Body Weight,0.0013774104683195
120-180,50-70,180-365,ALT (Elevated),Body Weight,0.0027548209366391
120-180,50-70,365-730,ALT (Elevated),Body Weight,0.0041322314049586
120-180,50-70,730-inf,ALT (Elevated),Body Weight,0.0165289256198347
120-180,60-80,365-730,ALT (Elevated),Diastolic Blood Pressure,0.0027548209366391
120-180,60-80,730-inf,ALT (Elevated),Diastolic Blood Pressure,0.0110192837465564
120-180,70-90,30-60,ALT (Elevated),Body Weight,0.0013774104683195
120-180,70-90,60-90,ALT (Elevated),Body Weight,0.0013774104683195
120-180,70-90,90-180,ALT (Elevated),Body Weight,0.0055096418732782
120-180,70-90,180-365,ALT (Elevated),Body Weight,0.0055096418732782
120-180,70-90,365-730,ALT (Elevated),Body Weight,0.0096418732782369
120-180,70-90,730-inf,ALT (Elevated),Body Weight,0.024793388429752
120-180,80-90,30-60,ALT (Elevated),Diastolic Blood Pressure,0.0013774104683195
120-180,80-90,60-90,ALT (Elevated),Diastolic Blood Pressure,0.0013774104683195
120-180,80-90,90-180,ALT (Elevated),Diastolic Blood Pressure,0.0068870523415977
120-180,80-90,180-365,ALT (Elevated),Diastolic Blood Pressure,0.0041322314049586
120-180,80-90,365-730,ALT (Elevated),Diastolic Blood Pressure,0.0082644628099173
120-180,80-90,730-inf,ALT (Elevated),Diastolic Blood Pressure,0.0234159779614325
120-180,90-120,14-30,ALT (Elevated),Systolic Blood Pressure,0.0013774104683195
120-180,90-120,30-60,ALT (Elevated),Systolic Blood Pressure,0.0013774104683195
120-180,90-120,60-90,ALT (Elevated),Systolic Blood Pressure,0.0041322314049586
120-180,90-120,90-180,ALT (Elevated),Systolic Blood Pressure,0.0055096418732782
120-180,90-120,180-365,ALT (Elevated),Systolic Blood Pressure,0.0096418732782369
120-180,90-120,365-730,ALT (Elevated),Systolic Blood Pressure,0.0192837465564738
120-180,90-120,730-inf,ALT (Elevated),Systolic Blood Pressure,0.0261707988980716
120-180,90-inf,14-30,ALT (Elevated),Body Weight,0.0013774104683195
120-180,90-inf,30-60,ALT (Elevated),Body Weight,0.0027548209366391
120-180,90-inf,60-90,ALT (Elevated),Body Weight,0.0027548209366391
120-180,90-inf,90-180,ALT (Elevated),Body Weight,0.0041322314049586
120-180,90-inf,180-365,ALT (Elevated),Body Weight,0.0096418732782369
120-180,90-inf,180-365,ALT (Elevated),Diastolic Blood Pressure,0.0013774104683195
120-180,90-inf,365-730,ALT (Elevated),Body Weight,0.0234159779614325
120-180,90-inf,365-730,ALT (Elevated),Diastolic Blood Pressure,0.0013774104683195
120-180,90-inf,730-inf,ALT (Elevated),Body Weight,0.0165289256198347
120-180,90-inf,730-inf,ALT (Elevated),Diastolic Blood Pressure,0.0027548209366391
120-180,Acute Cholecystitis,0-7,ALT (Elevated),condition,0.0068870523415977
120-180,Acute bronchitis (disorder),60-90,ALT (Elevated),condition,0.0013774104683195
120-180,Acute bronchitis (disorder),365-730,ALT (Elevated),condition,0.0013774104683195
120-180,Acute bronchitis (disorder),730-inf,ALT (Elevated),condition,0.0013774104683195
120-180,Acute viral pharyngitis (disorder),180-365,ALT (Elevated),condition,0.0013774104683195
120-180,Acute viral pharyngitis (disorder),730-inf,ALT (Elevated),condition,0.0027548209366391
120-180,Awaiting transplantation of bone marrow (situation),730-inf,ALT (Elevated),condition,0.0013774104683195
120-180,COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,365-730,ALT (Elevated),immunization,0.0027548209366391
120-180,COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,730-inf,ALT (Elevated),immunization,0.0055096418732782
120-180,COVID-19  mRNA  LNP-S  PF  30 mcg/0.3 mL dose,90-180,ALT (Elevated),immunization,0.0027548209366391
